Configuración utilizada:
Operador de selección: Por Ruleta
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por intercambio (2). Probabilidad: 0.1
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5830.0
Costo promedio (Población): 5952,36
Tiempo total de ejecución: 885.0 ms
Tiempo promedio por generación: 0,89 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17187.0
Mejor fitness en iteración 487: 5832.0
Mejor fitness en iteración 488: 5832.0
Mejor fitness en iteración 489: 5834.0
Mejor fitness en iteración 490: 5834.0
Mejor fitness en iteración 491: 5834.0
Mejor fitness en iteración 492: 5834.0
Mejor fitness en iteración 493: 5834.0
Mejor fitness en iteración 494: 5834.0
Mejor fitness en iteración 495: 5834.0
Mejor fitness en iteración 496: 5834.0
Mejor fitness en iteración 497: 5834.0
Mejor fitness en iteración 498: 5834.0
Mejor fitness en iteración 499: 5834.0
Mejor fitness en iteración 500: 5834.0
Mejor fitness en iteración 501: 5834.0
Mejor fitness en iteración 502: 5834.0
Mejor fitness en iteración 503: 5834.0
Mejor fitness en iteración 504: 5834.0
Mejor fitness en iteración 505: 5834.0
Mejor fitness en iteración 506: 5834.0
Mejor fitness en iteración 507: 5834.0
Mejor fitness en iteración 508: 5834.0
Mejor fitness en iteración 509: 5834.0
Mejor fitness en iteración 510: 5834.0
Mejor fitness en iteración 511: 5834.0
Mejor fitness en iteración 512: 5834.0
Mejor fitness en iteración 513: 5834.0
Mejor fitness en iteración 514: 5834.0
Mejor fitness en iteración 515: 5832.0
Mejor fitness en iteración 516: 5834.0
Mejor fitness en iteración 517: 5834.0
Mejor fitness en iteración 518: 5834.0
Mejor fitness en iteración 519: 5834.0
Mejor fitness en iteración 520: 5834.0
Mejor fitness en iteración 521: 5834.0
Mejor fitness en iteración 522: 5834.0
Mejor fitness en iteración 523: 5834.0
Mejor fitness en iteración 524: 5834.0
Mejor fitness en iteración 525: 5834.0
Mejor fitness en iteración 526: 5834.0
Mejor fitness en iteración 527: 5834.0
Mejor fitness en iteración 528: 5834.0
Mejor fitness en iteración 529: 5834.0
Mejor fitness en iteración 530: 5834.0
Mejor fitness en iteración 531: 5834.0
Mejor fitness en iteración 532: 5834.0
Mejor fitness en iteración 533: 5834.0
Mejor fitness en iteración 534: 5834.0
Mejor fitness en iteración 535: 5834.0
Mejor fitness en iteración 536: 5834.0
Mejor fitness en iteración 537: 5834.0
Mejor fitness en iteración 538: 5834.0
Mejor fitness en iteración 539: 5834.0
Mejor fitness en iteración 540: 5834.0
Mejor fitness en iteración 541: 5834.0
Mejor fitness en iteración 542: 5834.0
Mejor fitness en iteración 543: 5834.0
Mejor fitness en iteración 544: 5834.0
Mejor fitness en iteración 545: 5834.0
Mejor fitness en iteración 546: 5834.0
Mejor fitness en iteración 547: 5834.0
Mejor fitness en iteración 548: 5834.0
Mejor fitness en iteración 549: 5834.0
Mejor fitness en iteración 550: 5834.0
Mejor fitness en iteración 551: 5834.0
Mejor fitness en iteración 552: 5829.0
Mejor fitness en iteración 553: 5834.0
Mejor fitness en iteración 554: 5834.0
Mejor fitness en iteración 555: 5834.0
Mejor fitness en iteración 556: 5834.0
Mejor fitness en iteración 557: 5834.0
Mejor fitness en iteración 558: 5834.0
Mejor fitness en iteración 559: 5834.0
Mejor fitness en iteración 560: 5834.0
Mejor fitness en iteración 561: 5834.0
Mejor fitness en iteración 562: 5834.0
Mejor fitness en iteración 563: 5834.0
Mejor fitness en iteración 564: 5834.0
Mejor fitness en iteración 565: 5834.0
Mejor fitness en iteración 566: 5834.0
Mejor fitness en iteración 567: 5832.0
Mejor fitness en iteración 568: 5832.0
Mejor fitness en iteración 569: 5834.0
Mejor fitness en iteración 570: 5834.0
Mejor fitness en iteración 571: 5834.0
Mejor fitness en iteración 572: 5834.0
Mejor fitness en iteración 573: 5834.0
Mejor fitness en iteración 574: 5834.0
Mejor fitness en iteración 575: 5834.0
Mejor fitness en iteración 576: 5834.0
Mejor fitness en iteración 577: 5834.0
Mejor fitness en iteración 578: 5834.0
Mejor fitness en iteración 579: 5834.0
Mejor fitness en iteración 580: 5834.0
Mejor fitness en iteración 581: 5834.0
Mejor fitness en iteración 582: 5834.0
Mejor fitness en iteración 583: 5856.0
Mejor fitness en iteración 584: 5856.0
Mejor fitness en iteración 585: 5842.0
Mejor fitness en iteración 586: 5842.0
Mejor fitness en iteración 587: 5855.0
Mejor fitness en iteración 588: 5855.0
Mejor fitness en iteración 589: 5845.0
Mejor fitness en iteración 590: 5845.0
Mejor fitness en iteración 591: 5845.0
Mejor fitness en iteración 592: 5845.0
Mejor fitness en iteración 593: 5845.0
Mejor fitness en iteración 594: 5845.0
Mejor fitness en iteración 595: 5845.0
Mejor fitness en iteración 596: 5845.0
Mejor fitness en iteración 597: 5845.0
Mejor fitness en iteración 598: 5843.0
Mejor fitness en iteración 599: 5843.0
Mejor fitness en iteración 600: 5843.0
Mejor fitness en iteración 601: 5845.0
Mejor fitness en iteración 602: 5845.0
Mejor fitness en iteración 603: 5845.0
Mejor fitness en iteración 604: 5845.0
Mejor fitness en iteración 605: 5845.0
Mejor fitness en iteración 606: 5845.0
Mejor fitness en iteración 607: 5845.0
Mejor fitness en iteración 608: 5845.0
Mejor fitness en iteración 609: 5845.0
Mejor fitness en iteración 610: 5845.0
Mejor fitness en iteración 611: 5845.0
Mejor fitness en iteración 612: 5845.0
Mejor fitness en iteración 613: 5845.0
Mejor fitness en iteración 614: 5845.0
Mejor fitness en iteración 615: 5845.0
Mejor fitness en iteración 616: 5845.0
Mejor fitness en iteración 617: 5845.0
Mejor fitness en iteración 618: 5845.0
Mejor fitness en iteración 619: 5845.0
Mejor fitness en iteración 620: 5845.0
Mejor fitness en iteración 621: 5845.0
Mejor fitness en iteración 622: 5845.0
Mejor fitness en iteración 623: 5845.0
Mejor fitness en iteración 624: 5845.0
Mejor fitness en iteración 625: 5845.0
Mejor fitness en iteración 626: 5845.0
Mejor fitness en iteración 627: 5845.0
Mejor fitness en iteración 628: 5845.0
Mejor fitness en iteración 629: 5845.0
Mejor fitness en iteración 630: 5845.0
Mejor fitness en iteración 631: 5845.0
Mejor fitness en iteración 632: 5845.0
Mejor fitness en iteración 633: 5845.0
Mejor fitness en iteración 634: 5845.0
Mejor fitness en iteración 635: 5845.0
Mejor fitness en iteración 636: 5845.0
Mejor fitness en iteración 637: 5845.0
Mejor fitness en iteración 638: 5845.0
Mejor fitness en iteración 639: 5845.0
Mejor fitness en iteración 640: 5845.0
Mejor fitness en iteración 641: 5845.0
Mejor fitness en iteración 642: 5845.0
Mejor fitness en iteración 643: 5845.0
Mejor fitness en iteración 644: 5845.0
Mejor fitness en iteración 645: 5845.0
Mejor fitness en iteración 646: 5845.0
Mejor fitness en iteración 647: 5845.0
Mejor fitness en iteración 648: 5845.0
Mejor fitness en iteración 649: 5845.0
