Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5635.0
Costo promedio (Población): 5635,00
Tiempo total de ejecución: 727.0 ms
Tiempo promedio por generación: 0,73 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17153.0
Mejor fitness en iteración 395: 5635.0
Mejor fitness en iteración 396: 5635.0
Mejor fitness en iteración 397: 5635.0
Mejor fitness en iteración 398: 5635.0
Mejor fitness en iteración 399: 5635.0
Mejor fitness en iteración 400: 5635.0
Mejor fitness en iteración 401: 5635.0
Mejor fitness en iteración 402: 5635.0
Mejor fitness en iteración 403: 5635.0
Mejor fitness en iteración 404: 5635.0
Mejor fitness en iteración 405: 5635.0
Mejor fitness en iteración 406: 5635.0
Mejor fitness en iteración 407: 5635.0
Mejor fitness en iteración 408: 5635.0
Mejor fitness en iteración 409: 5635.0
Mejor fitness en iteración 410: 5635.0
Mejor fitness en iteración 411: 5635.0
Mejor fitness en iteración 412: 5635.0
Mejor fitness en iteración 413: 5635.0
Mejor fitness en iteración 414: 5635.0
Mejor fitness en iteración 415: 5635.0
Mejor fitness en iteración 416: 5635.0
Mejor fitness en iteración 417: 5635.0
Mejor fitness en iteración 418: 5635.0
Mejor fitness en iteración 419: 5635.0
Mejor fitness en iteración 420: 5635.0
Mejor fitness en iteración 421: 5635.0
Mejor fitness en iteración 422: 5635.0
Mejor fitness en iteración 423: 5635.0
Mejor fitness en iteración 424: 5635.0
Mejor fitness en iteración 425: 5635.0
Mejor fitness en iteración 426: 5635.0
Mejor fitness en iteración 427: 5635.0
Mejor fitness en iteración 428: 5635.0
Mejor fitness en iteración 429: 5635.0
Mejor fitness en iteración 430: 5635.0
Mejor fitness en iteración 431: 5635.0
Mejor fitness en iteración 432: 5635.0
Mejor fitness en iteración 433: 5635.0
Mejor fitness en iteración 434: 5635.0
Mejor fitness en iteración 435: 5635.0
Mejor fitness en iteración 436: 5635.0
Mejor fitness en iteración 437: 5635.0
Mejor fitness en iteración 438: 5635.0
Mejor fitness en iteración 439: 5635.0
Mejor fitness en iteración 440: 5635.0
Mejor fitness en iteración 441: 5635.0
Mejor fitness en iteración 442: 5635.0
Mejor fitness en iteración 443: 5635.0
Mejor fitness en iteración 444: 5635.0
Mejor fitness en iteración 445: 5635.0
Mejor fitness en iteración 446: 5635.0
Mejor fitness en iteración 447: 5635.0
Mejor fitness en iteración 448: 5635.0
Mejor fitness en iteración 449: 5635.0
Mejor fitness en iteración 450: 5635.0
Mejor fitness en iteración 451: 5635.0
Mejor fitness en iteración 452: 5635.0
Mejor fitness en iteración 453: 5635.0
Mejor fitness en iteración 454: 5635.0
Mejor fitness en iteración 455: 5635.0
Mejor fitness en iteración 456: 5635.0
Mejor fitness en iteración 457: 5635.0
